CODIGO ESTACION,NOMBRE ESTACION,COD_REGION,REGION,COMUNA,LAT,LONG,UTM_ESTE,UTM_NORTE,ALTITUD,ANIO,MES,PREP_MENSUAL,Unidad
05000001,QUEBRADA EL MANZANO,5,DE VALPARAISO,LA LIGUA,0321312  ,0712406  ,273654,6432594,380,1977,1,0.0,mm
05000001,QUEBRADA EL MANZANO,5,DE VALPARAISO,LA LIGUA,0321312  ,0712406  ,273654,6432594,380,1977,2,0.0,mm
05000001,QUEBRADA EL MANZANO,5,DE VALPARAISO,LA LIGUA,0321312  ,0712406  ,273654,6432594,380,1977,3,0.0,mm
05000001,QUEBRADA EL MANZANO,5,DE VALPARAISO,LA LIGUA,0321312  ,0712406  ,273654,6432594,380,1977,4,0.2,mm
05000001,QUEBRADA EL MANZANO,5,DE VALPARAISO,LA LIGUA,0321312  ,0712406  ,273654,6432594,380,1977,5,9.5,mm
05000001,QUEBRADA EL MANZANO,5,DE VALPARAISO,LA LIGUA,0321312  ,0712406  ,273654,6432594,380,1977,6,79.0,mm
05000001,QUEBRADA EL MANZANO,5,DE VALPARAISO,LA LIGUA,0321312  ,0712406  ,273654,6432594,380,1977,7,190.0,mm
05000001,QUEBRADA EL MANZANO,5,DE VALPARAISO,LA LIGUA,0321312  ,0712406  ,273654,6432594,380,1977,8,51.0,mm
05000001,QUEBRADA EL MANZANO,5,DE VALPARAISO,LA LIGUA,0321312  ,0712406  ,273654,6432594,380,1977,9,0.0,mm
05000001,QUEBRADA EL MANZANO,5,DE VALPARAISO,LA LIGUA,0321312  ,0712406  ,273654,6432594,380,1977,10,6.0,mm
05000001,QUEBRADA EL MANZANO,5,DE VALPARAISO,LA LIGUA,0321312  ,0712406  ,273654,6432594,380,1977,11,2.0,mm
05000001,QUEBRADA EL MANZANO,5,DE VALPARAISO,LA LIGUA,0321312  ,0712406  ,273654,6432594,380,1977,12,0.0,mm
05000001,QUEBRADA EL MANZANO,5,DE VALPARAISO,LA LIGUA,0321312  ,0712406  ,273654,6432594,380,1978,1,0.0,mm
05000001,QUEBRADA EL MANZANO,5,DE VALPARAISO,LA LIGUA,0321312  ,0712406  ,273654,6432594,380,1978,2,0.0,mm
05000001,QUEBRADA EL MANZANO,5,DE VALPARAISO,LA LIGUA,0321312  ,0712406  ,273654,6432594,380,1978,3,0.0,mm
05000001,QUEBRADA EL MANZANO,5,DE VALPARAISO,LA LIGUA,0321312  ,0712406  ,273654,6432594,380,1978,4,0.0,mm
05000001,QUEBRADA EL MANZANO,5,DE VALPARAISO,LA LIGUA,0321312  ,0712406  ,273654,6432594,380,1978,5,9.0,mm
05000001,QUEBRADA EL MANZANO,5,DE VALPARAISO,LA LIGUA,0321312  ,0712406  ,273654,6432594,380,1978,6,33.0,mm
05000001,QUEBRADA EL MANZANO,5,DE VALPARAISO,LA LIGUA,0321312  ,0712406  ,273654,6432594,380,1978,7,218.0,mm
05000001,QUEBRADA EL MANZANO,5,DE VALPARAISO,LA LIGUA,0321312  ,0712406  ,273654,6432594,380,1978,8,9.0,mm
05000001,QUEBRADA EL MANZANO,5,DE VALPARAISO,LA LIGUA,0321312  ,0712406  ,273654,6432594,380,1978,9,54.0,mm
05000001,QUEBRADA EL MANZANO,5,DE VALPARAISO,LA LIGUA,0321312  ,0712406  ,273654,6432594,380,1978,10,0.0,mm
05000001,QUEBRADA EL MANZANO,5,DE VALPARAISO,LA LIGUA,0321312  ,0712406  ,273654,6432594,380,1978,11,68.0,mm
05000001,QUEBRADA EL MANZANO,5,DE VALPARAISO,LA LIGUA,0321312  ,0712406  ,273654,6432594,380,1978,12,0.0,mm
05000001,QUEBRADA EL MANZANO,5,DE VALPARAISO,LA LIGUA,0321312  ,0712406  ,273654,6432594,380,1979,1,0.0,mm
05000001,QUEBRADA EL MANZANO,5,DE VALPARAISO,LA LIGUA,0321312  ,0712406  ,273654,6432594,380,1979,2,0.0,mm
05000001,QUEBRADA EL MANZANO,5,DE VALPARAISO,LA LIGUA,0321312  ,0712406  ,273654,6432594,380,1979,3,0.0,mm
05000001,QUEBRADA EL MANZANO,5,DE VALPARAISO,LA LIGUA,0321312  ,0712406  ,273654,6432594,380,1979,4,31.0,mm
05000001,QUEBRADA EL MANZANO,5,DE VALPARAISO,LA LIGUA,0321312  ,0712406  ,273654,6432594,380,1979,5,6.0,mm
05000001,QUEBRADA EL MANZANO,5,DE VALPARAISO,LA LIGUA,0321312  ,0712406  ,273654,6432594,380,1979,6,0.0,mm
05000001,QUEBRADA EL MANZANO,5,DE VALPARAISO,LA LIGUA,0321312  ,0712406  ,273654,6432594,380,1979,7,26.2,mm
05000001,QUEBRADA EL MANZANO,5,DE VALPARAISO,LA LIGUA,0321312  ,0712406  ,273654,6432594,380,1979,8,26.0,mm
05000001,QUEBRADA EL MANZANO,5,DE VALPARAISO,LA LIGUA,0321312  ,0712406  ,273654,6432594,380,1979,9,18.0,mm
05000001,QUEBRADA EL MANZANO,5,DE VALPARAISO,LA LIGUA,0321312  ,0712406  ,273654,6432594,380,1979,10,0.0,mm
05000001,QUEBRADA EL MANZANO,5,DE VALPARAISO,LA LIGUA,0321312  ,0712406  ,273654,6432594,380,1979,11,11.0,mm
05000001,QUEBRADA EL MANZANO,5,DE VALPARAISO,LA LIGUA,0321312  ,0712406  ,273654,6432594,380,1979,12,0.0,mm
05000001,QUEBRADA EL MANZANO,5,DE VALPARAISO,LA LIGUA,0321312  ,0712406  ,273654,6432594,380,1980,1,0.0,mm
05000001,QUEBRADA EL MANZANO,5,DE VALPARAISO,LA LIGUA,0321312  ,0712406  ,273654,6432594,380,1980,2,0.0,mm
05000001,QUEBRADA EL MANZANO,5,DE VALPARAISO,LA LIGUA,0321312  ,0712406  ,273654,6432594,380,1980,3,0.0,mm
05000001,QUEBRADA EL MANZANO,5,DE VALPARAISO,LA LIGUA,0321312  ,0712406  ,273654,6432594,380,1980,4,49.0,mm
05000001,QUEBRADA EL MANZANO,5,DE VALPARAISO,LA LIGUA,0321312  ,0712406  ,273654,6432594,380,1980,5,11.0,mm
05000001,QUEBRADA EL MANZANO,5,DE VALPARAISO,LA LIGUA,0321312  ,0712406  ,273654,6432594,380,1980,6,63.0,mm
05000001,QUEBRADA EL MANZANO,5,DE VALPARAISO,LA LIGUA,0321312  ,0712406  ,273654,6432594,380,1980,7,120.0,mm
05000001,QUEBRADA EL MANZANO,5,DE VALPARAISO,LA LIGUA,0321312  ,0712406  ,273654,6432594,380,1980,8,16.0,mm
05000001,QUEBRADA EL MANZANO,5,DE VALPARAISO,LA LIGUA,0321312  ,0712406  ,273654,6432594,380,1980,9,75.0,mm
05000001,QUEBRADA EL MANZANO,5,DE VALPARAISO,LA LIGUA,0321312  ,0712406  ,273654,6432594,380,1980,10,0.0,mm
05000001,QUEBRADA EL MANZANO,5,DE VALPARAISO,LA LIGUA,0321312  ,0712406  ,273654,6432594,380,1980,11,0.0,mm
05000001,QUEBRADA EL MANZANO,5,DE VALPARAISO,LA LIGUA,0321312  ,0712406  ,273654,6432594,380,1980,12,0.0,mm
05000001,QUEBRADA EL MANZANO,5,DE VALPARAISO,LA LIGUA,0321312  ,0712406  ,273654,6432594,380,1981,1,0.0,mm
05000001,QUEBRADA EL MANZANO,5,DE VALPARAISO,LA LIGUA,0321312  ,0712406  ,273654,6432594,380,1981,2,0.0,mm
05000001,QUEBRADA EL MANZANO,5,DE VALPARAISO,LA LIGUA,0321312  ,0712406  ,273654,6432594,380,1981,3,0.0,mm
05000001,QUEBRADA EL MANZANO,5,DE VALPARAISO,LA LIGUA,0321312  ,0712406  ,273654,6432594,380,1981,4,0.0,mm
05000001,QUEBRADA EL MANZANO,5,DE VALPARAISO,LA LIGUA,0321312  ,0712406  ,273654,6432594,380,1981,5,215.0,mm
05000001,QUEBRADA EL MANZANO,5,DE VALPARAISO,LA LIGUA,0321312  ,0712406  ,273654,6432594,380,1981,6,54.0,mm
05000001,QUEBRADA EL MANZANO,5,DE VALPARAISO,LA LIGUA,0321312  ,0712406  ,273654,6432594,380,1981,7,4.0,mm
05000001,QUEBRADA EL MANZANO,5,DE VALPARAISO,LA LIGUA,0321312  ,0712406  ,273654,6432594,380,1981,8,0.0,mm
05000001,QUEBRADA EL MANZANO,5,DE VALPARAISO,LA LIGUA,0321312  ,0712406  ,273654,6432594,380,1981,9,2.0,mm
05000001,QUEBRADA EL MANZANO,5,DE VALPARAISO,LA LIGUA,0321312  ,0712406  ,273654,6432594,380,1981,10,0.0,mm
05000001,QUEBRADA EL MANZANO,5,DE VALPARAISO,LA LIGUA,0321312  ,0712406  ,273654,6432594,380,1981,11,0.0,mm
05000001,QUEBRADA EL MANZANO,5,DE VALPARAISO,LA LIGUA,0321312  ,0712406  ,273654,6432594,380,1981,12,0.0,mm
05000001,QUEBRADA EL MANZANO,5,DE VALPARAISO,LA LIGUA,0321312  ,0712406  ,273654,6432594,380,1982,1,0.0,mm
05000001,QUEBRADA EL MANZANO,5,DE VALPARAISO,LA LIGUA,0321312  ,0712406  ,273654,6432594,380,1982,2,0.0,mm
05000001,QUEBRADA EL MANZANO,5,DE VALPARAISO,LA LIGUA,0321312  ,0712406  ,273654,6432594,380,1982,3,28.0,mm
